city,admin_name,capital,population
"Aguacatan, Guatemala",Huehuetenango,minor,59638.0
"Aguachica, Colombia",Cesar,minor,109621.0
"Aguada de Pasajeros, Cuba",Cienfuegos,minor,31279.0
"Aguadas, Colombia",Caldas,minor,21237.0
"Aguadilla, Puerto Rico",Puerto Rico,,235546.0
"Aguadulce, Panama",Coclé,minor,51668.0
"Aguadulce, Spain",Andalusia,,16176.0
"Aguai, Brazil",São Paulo,minor,34863.0
"Agualva, Portugal",Lisboa,,35824.0
"Aguas Belas, Brazil",Pernambuco,minor,41548.0
"Aguas Formosas, Brazil",Minas Gerais,minor,17845.0
"Aguas Santas, Portugal",Porto,,27470.0
"Aguas Vermelhas, Brazil",Minas Gerais,minor,14037.0
"Aguas Zarcas, Costa Rica",Alajuela,,20239.0
"Aguas de Lindoia, Brazil",São Paulo,minor,16190.0
"Aguasay, Venezuela",Monagas,minor,11856.0
"Aguascalientes, Mexico",Aguascalientes,admin,934424.0
"Aguazul, Colombia",Casanare,minor,43183.0
"Agudo, Brazil",Rio Grande do Sul,minor,16041.0
"Agudos do Sul, Brazil",Paraná,minor,10233.0
"Agudos, Brazil",São Paulo,minor,37401.0
"Agueda, Portugal",Aveiro,minor,47729.0
"Aguelhok, Mali",Kidal,,8080.0
"Aguelmous, Morocco",Béni Mellal-Khénifra,,36560.0
"Agui, Japan",Aichi,,28176.0
"Aguia Branca, Brazil",Espírito Santo,minor,9519.0
"Aguilar, Philippines",Pangasinan,,45100.0
"Aguilar, Spain",Andalusia,,13210.0
"Aguilares, Argentina",Tucumán,minor,32097.0
"Aguilares, El Salvador",San Salvador,,73300.0
"Aguilas, Spain",Murcia,,37417.0
"Aguimes, Spain",Canary Islands,,33179.0
"Aguinaldo, Philippines",Santiago,,21128.0
"Agustin Codazzi, Colombia",Cesar,minor,49233.0
"Agutaya, Philippines",Palawan,,12867.0
"Ahar, Iran",Āz̄arbāyjān-e Sharqī,minor,100641.0
"Ahaus, Germany",North Rhine-Westphalia,,40580.0
"Ahenkro, Ghana",Oti,,80813.0
"Aheqi, China",Xinjiang,minor,11910.0
"Ahermoumou, Morocco",Fès-Meknès,,12654.0
"Ahfir, Morocco",Oriental,,16310.0
"Ahigbe Koffikro, Côte d’Ivoire",Comoé,,14928.0
"Ahirauliya, India",Bihār,,12448.0
"Ahiro, India",Bihār,,10223.0
"Ahlaf, Morocco",Casablanca-Settat,,11451.0
"Ahlat, Turkey",Bitlis,minor,27563.0
"Ahlen, Germany",North Rhine-Westphalia,,53278.0
"Ahmadabad, India",Bihār,,26513.0
"Ahmadli, Azerbaijan",Bakı,,10974.0
"Ahmadnagar, India",Mahārāshtra,,350859.0
"Ahmadpur East, Pakistan",Punjab,,128112.0
"Ahmadpur, India",Mahārāshtra,,44000.0
"Ahmed Rachedi, Algeria",Mila,,14489.0
"Ahmedabad, India",Gujarāt,minor,8009000.0
"Ahmer el 'Ain, Algeria",Tipaza,,29000.0
"Ahmetli, Turkey",Manisa,minor,16963.0
"Ahogbeya, Benin",Couffo,,10330.0
"Ahor, India",Rājasthān,,239642.0
"Ahram, Iran",Būshehr,minor,15198.0
"Ahrensbok, Germany",Schleswig-Holstein,,8502.0
"Ahrensburg, Germany",Schleswig-Holstein,,34601.0
"Ahrensfelde, Germany",Brandenburg,,14144.0
"Ahuachapan, El Salvador",Ahuachapán,admin,135325.0
"Ahualulco de Mercado, Mexico",Jalisco,minor,23630.0
"Ahuimanu, United States",Hawaii,,8520.0
"Ahumada, Mexico",Chihuahua,minor,8575.0
"Ahus, Sweden",Skåne,,9423.0
"Ahvaz, Iran",Khūzestān,admin,1325000.0
"Ahwa, India",Gujarāt,,22829.0
"Aibak, Afghanistan",Samangān,admin,35560.0
"Aibongo, Mali",Tombouctou,,14247.0
"Aibonito, Puerto Rico",Puerto Rico,,8642.0
"Aich, Germany",Baden-Württemberg,,9951.0
"Aichach, Germany",Bavaria,minor,22222.0
"Aidlingen, Germany",Baden-Württemberg,,9429.0
"Aiea, United States",Hawaii,,9155.0
"Aigaleo, Greece",Attikí,minor,65831.0
"Aigio, Greece",Dytikí Elláda,minor,20422.0
"Aigle, Switzerland",Vaud,,10131.0
"Aigua, Uruguay",Maldonado,,2465.0
"Aigues-Mortes, France",Occitanie,,8707.0
"Aihua, China",Yunnan,minor,115047.0
"Aikaranad, India",Kerala,,18940.0
